sentiment,text,user
"neutral","RT @EFFSouthAfrica: [Watch]: CIC Julius Malema in parliament today also raised an issue of women empowerment and government not having a co…","maneli_anele"
"positive","RT @albd1971: #Women empowerment and development under HPM #SheikhHasina - #Bangladesh the second most gender equal country in #Asia accord…","SkCornel"
"neutral","@_xziya @hana_shafqat Nee senjadhu enna degree women empowerment degree ah ?","R_A_Z_Y_"
"positive","Women empowerment yo.. is so incredible when the love and support is genuine","_AshKetchum___"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Sakina64988031"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Rafiq1S"
"neutral","Someone should offer those women/self empowerment seminars but do one for sleeping. \n\nTeach me to sleep, master yoda","spookyayesha"
"neutral","RT @TrackaNG: Sen Omotayo,you have refused to provide details implementation on N130m project you nominated for the procurement of material…","tobibalogun"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","CasiaSadee__"
"neutral","RT @GigglesLadies: Isobel Ndoro is an ICT Consultant who holds a BSc Honours degree in Information Systems. In 2011 Ndoro was named Gijima…","hcsmzw"
"positive","RT @UNDPGhana: ‘There is no tool for development that is more effective than empowerment of women’ ~@KofiAnnan @Starr1035Fm https://t.co/3R…","Anita_AmissahA"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","insafianJutt"
"positive","RT @ChrisCoons: Empowering women across the globe to reach their full economic potential lifts up families and communities. Eager to work w…","MyHammy218"
"neutral","@priyankachopra Women empowerment at its finest 👌","DancingSunstars"
"negative","Sean Penn is a piece of shit. He should be toxic as fuck, not a fucking panel member for a discussion on women's em… https://t.co/sV8vLIr10I","NotQuitePhil"
"positive","RT @G_MachelTrust: The World Prize for Integrated Development was awarded to Mrs. Machel for her significant social justice achievements on…","robhizo"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","m_khurram_saeed"
"neutral","RT @GREATAgResearch: Raising chickens as a method of women's empowerment: using the Women's Empowerment in Agriculture Index (WEAI) to meas…","ImmaculateMaina"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","mochiruu"
"positive","RT @albd1971: #Women empowerment and development under HPM #SheikhHasina - #Bangladesh the second most gender equal country in #Asia accord…","AyubShe02910775"
"neutral","RT @TWIM_DMU: This society is all about Women empowerment and growth.  We’re not a feminist group but simply a group of girls hoping to hel…","marlisegata60"
"negative","RT @wearemitu: A classic Mexican card game is getting a makeover that’s all about women empowerment.\n\nhttps://t.co/YqbSPFpikL https://t.co/…","marcopolejo"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","Blvck_Dynamite"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Ihteshamahmed17"
"negative","@TomiLahren Way to open punish women for speaking out. I’m not sure you know what “empowerment” means. Maybe when you grow up.","Mat0816"
"neutral","RT @TWIM_DMU: This society is all about Women empowerment and growth.  We’re not a feminist group but simply a group of girls hoping to hel…","ree_dossantos"
"positive","RT @JNJCares: By 2020, #JNJ hopes to reach 1 million young girls with #STEM education programs. This is just one of the ways we’re committe…","cakestoriesbyL"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","Eii_Araba"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","AllMoneyInMil"
"positive","End your Monday with some women empowerment! Be sure to tune into '93Queen' tonight at 10pm on WEDU and learn about… https://t.co/US7gsJKMV6","jfedsrq"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","danilillian_"
"neutral","Hi 👋 @Ulla_Tornaes! As a global leader on gender equality and women's empowerment, will Denmark attend the NY… https://t.co/XlPMvkYGcJ","Jeff48957071"
"negative","You know nothing about female empowerment. All you do is break women down. You wouldn’t know about decades ago. It… https://t.co/t1dZRefJeT","CamiAnnS"
"positive","@myogiadityanath\n#TransformingIndia\nWomen empowerment is not just a slogan, but an idea in action. More than 5 cror… https://t.co/c7Mn6FOMK1","DubeyVibhanshu"
"positive","#RT Women's bible site:Is India tending to be 1 party #state after big #win in #UtterPradesh https://t.co/4dAzjSBxud https://t.co/AefEVLvUCf","ModernWorldCen"
"positive","I'm all about women's empowerment! My work with ambitious corporate climbers is focused on helping women harness th… https://t.co/wGRozrq07C","nancyfredericks"
"neutral","@pixiegirlcam - Women Empowerment with Pixie. https://t.co/AIWCCwW6wZ","ELMJobs"
"neutral","RT @cdnbizchicks: Congratulations to all our #WOI2018 Nominees! You are creating a massive ripple with your actions to lead, inspire and mo…","DeannaBurgart"
"neutral","RT @Lucky47685954: @1abhishekkamal In india we r taking about women empowerment and beti bachao aur padhao but we have to start another cam…","Surjeet96228239"
"positive","RT @ronduhhh_: Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","WholeLottaLeek"
"neutral","RT @HISTORY: The decade kicked off with passage of the #19thAmendment, which finally gave women the vote. #Flappers https://t.co/Cgh0Sy6115","Johnmartizz"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","SyedRiazShah16"
"positive","RT @GrayMattersTwit: @TomiLahren Female empowerment is being believed when a woman finds the courage to stand up, speak out when a powerful…","GrayMattersTwit"
"neutral","RT @JagoNardelli: @DVATW In Iran woman are taking the headscarf of to demonstrate freedom from oppression the left are trying to say the he…","Camille5212"
"positive","RT @preDOMinant_: The whole women empowerment movement has become such a marketing strategy these days. So cliquey, trendy and disingenuous.","Ambss____"
"neutral","Congratulations to all our #WOI2018 Nominees! You are creating a massive ripple with your actions to lead, inspire… https://t.co/vgu7toMUyp","cdnbizchicks"
"positive","Y'all always talking about women empowerment. Y'all ain't bout it fr lol. Just front y'all shit for Twitter.","ronduhhh_"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","SalmaanAshfaq"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","LXO_I"
"positive","RT @elise_legault: Great to see that on the day #FinDevCanada is officially launched, the focus is firmly on women's economic empowerment.…","modonnell1231"
"positive","RT @AllisonRFloyd: @TomiLahren You support a man who brags about sexually assaulting women. You don’t get to weigh in on female empowerment…","abigailkjohnso5"
"positive","I and all Indian are with you Sister, we will fight for uniform Civil code together, we cannot achieve developed na… https://t.co/E86LQsPsBq","Msdianyash"
"neutral","RT @unwomenafrica: Day 1 of the @UN_Women  WCARO Deputy RD visit to Guinea Bissau. Meeting with Civil society Organization to discuss Women…","Survivorexit"
"positive","RT @NobelWomen: Join @IMPACTtransform on Sept 27 in #Ottawa for a unique opportunity to meet two women artisanal gold miners from #Congo wh…","EfNFus"
"neutral","RT @StephLoffredo: Hooha got a shout-out on the @UN floor for @IdeagenGlobal's women's  empowerment summit last Friday—we're launching a sm…","womentechbot"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","Firstwives_"
"positive","RT @unwomen_pak: In a bid to advance women’s empowerment initiatives and support the signing of 'Women's Economic Principles' by Engro Ener…","Zainab_Iqbal412"
"positive","@paullamontagne Proud to be part of this historic event! #FinDevCanada will be instrumental in catalyzing investmen… https://t.co/j9VT9X6l04","DianadeCastro6"
"positive","RT @unwomen_pak: In a bid to advance women’s empowerment initiatives and support the signing of 'Women's Economic Principles' by Engro Ener…","socialist_idyll"
"positive","RT @_amoafoa_: I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","eewfeelings_"
"neutral","@jackieaina Could you please do a video with @YvonneOrji and talk about career advice, women empowerment, etc.? 🤗💕","cmsaints"
"neutral","سنتواجد في #نيويورك قريباً للإعلان عن إحدى مبادراتنا نحو تمكين المرأة.\n\nترقبونا.\n\nArriving in #NewYork soon to anno… https://t.co/2qyfxi1eos","alwaleed_______"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","AdKabiir"
"positive","The World Seems Full of “Lady Bosses.” But What Are They Actually Running? https://t.co/4QGrfqesvb","bishosy"
"neutral","RT @BSangafowaCoul: At #T20Summit  session on women inclusion... regrettably audience is overwhelmimgly female. We will make decisive progr…","ValerieRWilson"
"neutral","#Indian #Indians #victims Women's bible Site: Mumbai Terrorist #Attack:Will India Shining go https://t.co/gY0ZKBR5Tj https://t.co/YMJHh9R9Mf","FaithAtheismNub"
"neutral","RT @unwomenafrica: Day 1 of the @UN_Women  WCARO Deputy RD visit to Guinea Bissau. Meeting with Civil society Organization to discuss Women…","moisomedrano"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","imrankhan0990"
"positive","RT @gymstatuz: @TomiLahren I thought female empowerment was about women making their own money. It seems to be about being a whore &amp; taking…","jamespiccolino"
"positive","#politics 1 book 150 sub insight site:BJP wins state election &amp; Trump congratulates Modi why https://t.co/4dAzjSBxud https://t.co/AefEVLvUCf","ModernWorldCen"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","m_imranwasim"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","IamTeamPM_IK"
"neutral","RT @ChugoshviliMP: Women empowerment - this is what matters #PACEMonitoringCommittee meeting in Tbilisi. Grape-harvesting and wine tasting…","mariannemikko"
"negative","@TomiLahren Female empowerment is not turning a victim into a villain esp when the rights of ALL women r at stake","marybeary515"
"positive","RT @albd1971: #Women empowerment and development under HPM #SheikhHasina - #Bangladesh the second most gender equal country in #Asia accord…","JohoraRahman"
"neutral","@TomiLahren Didn't you get fired for speaking out on women's empowerment issues? You think you'd be for all about w… https://t.co/s03NTf5Td5","bigshelds"
"neutral","RT @nkemokocha: @mamamoninigeria we #Endpoverty through empowerment ( #Accesstofinance #financialliteracy #SkillsDevelopment ) of low-incom…","MamamoniF"
"positive","RT @SWSGBoston: Had a great night yesterday at the #PowerofShe Panel hosted by @Athleta_Newbury ! Thank you to Elaine Stokes, chair of our…","BostonWomen"
"neutral","I'm Possible Women's Empowerment Conference ~ Empowering and educating female entrepreneurs.… https://t.co/a2Yq7HCoIx","WOBCCentral"
"neutral","@1abhishekkamal In india we r taking about women empowerment and beti bachao aur padhao but we have to start anothe… https://t.co/Z2ruOqV0S9","Lucky47685954"
"positive","@TomiLahren I thought female empowerment was about women making their own money. It seems to be about being a whore… https://t.co/ZiwatmnMLd","gymstatuz"
"neutral","https://t.co/gTbMHoJAYA https://t.co/gTbMHoJAYA","kingdompowernow"
"neutral","Hooha got a shout-out on the @UN floor for @IdeagenGlobal's women's  empowerment summit last Friday—we're launching… https://t.co/R061qXu6mp","StephLoffredo"
"positive","I am thoroughly convinced that women's empowerment conferences are a front for rich women to go to brunch.","_amoafoa_"
"neutral","RT @Hesperian: Melissa Smith, Deputy Director of Women’s Health, Gender and Empowerment at the @ucghi shares the launch of @Hesperian's Hea…","ucghi"
"positive","Why is family planning important?\nRights-based #familyplanning increases women’s empowerment in fulfilling their po… https://t.co/DuqfwHV5mw","UNFPAIndonesia"
"neutral","RT @ColorMagazine: Save the date for the upcoming Women of Color Leadership and Empowerment Conference in Pennsylvania featuring Camille Ch…","LeenaPatelLive"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Aeman826"
"positive","RT @KoblerinPAK: honour to attend the inaugural speech of President @ArifAlvi to parliament. impressed by what he said about women empowerm…","Outofboxviews"